27/06/2022 13:23:08.70 [Information] -------------------------------
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistCIB\Readme.txt'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPDS\Readme.txt'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistRDC\Readme.txt'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\VxWin\knet.config'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\KrlModSize.bin'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\KrcRrtLog.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posicao_de_Transporte.dat'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posicao_de_Transporte.src'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_SysBusDriver.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SysBusDriver.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posis.dat'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posis.src'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP10.dat'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP10.src'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP20.dat'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP20.src'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP30.dat'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP30.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP60.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP60.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Deposita_Master_OP60.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Deposita_Master_OP60.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Func.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Func.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Signal.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_sps.sub'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Data.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_User.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_User.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_Data.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_User.dat'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_User.src'
27/06/2022 13:23:14.45 [Information] [GripperSpotTech]	Execute file manipulations mode Installation
27/06/2022 13:23:14.45 [Information] Extract file manipulation action contents and execute file manipulations for 'GeneralDel'
27/06/2022 13:23:14.45 [Information] Execute file manipulation action 'InstallGeneral.del'
27/06/2022 13:23:14.45 [Information] Determining which file manipulation mechanism to use
27/06/2022 13:23:14.45 [Information] Prepare content of file manipulation action 'InstallGeneral.del'
27/06/2022 13:23:14.45 [Information] 	-New mechanism supported
27/06/2022 13:23:14.46 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.52 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.53 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.53 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:23:14.53 [Information] Try to delete directory 'C:\Windows\TEMP\2d52d541cd5b4eb2be64e52e1798ef48\7cbc051223794c6698fb06ef44cb407c'.
27/06/2022 13:23:14.53 [Information] Directory 'C:\Windows\TEMP\2d52d541cd5b4eb2be64e52e1798ef48\7cbc051223794c6698fb06ef44cb407c' has been deleted.
27/06/2022 13:23:14.53 [Information] Extract file manipulation action contents and execute file manipulations for 'SpsSubAdd'
27/06/2022 13:23:14.53 [Information] Execute file manipulation action 'SpsSub.add'
27/06/2022 13:23:14.53 [Information] Determining which file manipulation mechanism to use
27/06/2022 13:23:14.53 [Information] Prepare content of file manipulation action 'SpsSub.add'
27/06/2022 13:23:14.53 [Information] 	-New mechanism supported
27/06/2022 13:23:14.67 [Information] Try to delete directory 'C:\Windows\TEMP\2d52d541cd5b4eb2be64e52e1798ef48\441562bff4b3435793438875976aef04'.
27/06/2022 13:23:14.67 [Information] Directory 'C:\Windows\TEMP\2d52d541cd5b4eb2be64e52e1798ef48\441562bff4b3435793438875976aef04' has been deleted.
27/06/2022 13:23:14.68 [Information] Collect file 'KRC:\R1\System\$config.dat'
27/06/2022 13:23:14.70 [Information] Collect file 'KRC:\R1\System\bas.src'
27/06/2022 13:23:14.70 [Information] Collect file 'KRC:\R1\System\collmonlib.dat'
27/06/2022 13:23:14.70 [Information] Collect file 'KRC:\R1\System\collmonlib.src'
27/06/2022 13:23:14.71 [Information] Collect file 'KRC:\R1\System\Global_Points.dat'
27/06/2022 13:23:14.71 [Information] Collect file 'KRC:\R1\System\ir_stopm.src'
27/06/2022 13:23:14.71 [Information] Collect file 'KRC:\R1\System\masref_main.dat'
27/06/2022 13:23:14.71 [Information] Collect file 'KRC:\R1\System\masref_main.src'
27/06/2022 13:23:14.72 [Information] Collect file 'KRC:\R1\System\MsgLib.dat'
27/06/2022 13:23:14.72 [Information] Collect file 'KRC:\R1\System\MsgLib.src'
27/06/2022 13:23:14.72 [Information] Collect file 'KRC:\R1\System\sps.sub'
27/06/2022 13:23:14.73 [Information] Option 'GripperSpotTech (V5.0.3.51)' added successfully
27/06/2022 13:23:16.21 [Information] Prepare Installation of project "1304915_BR V1.8.0.0".
27/06/2022 13:23:16.21 [Information] Current project was "1304915_BR V1.8.0".
27/06/2022 13:23:18.91 [Information] ° WorkVisual version found : V6.0.15_Build0685
