27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_System.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_VwAscii.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_TimeSync.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_VRC.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PowerManagementConfig.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\TimeSync.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\TimeSyncBase.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\Sensor1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0016-KM040-W1_KSP300-5_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0064-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0127-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_KSP300_230V_06.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0016-KM040-W1_KSP300-5_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0064-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0127-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Supply\KSP300_230V_06.xml'
